line_no,raw_line,ip,ident,authuser,time_raw,time,request,method,path,protocol,status,size,referer,agent,parse_status,request_type,parse_note
1,"210.110.68.35 - - [12/Jun/2025:13:35:37 +0900] ""GET / HTTP/1.1"" 403 7620 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:13:35:37 +0900,2025-06-12 13:35:37+09:00,GET / HTTP/1.1,GET,/,HTTP/1.1,403,7620,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
2,"210.110.68.35 - - [12/Jun/2025:13:35:37 +0900] ""GET /icons/poweredby.png HTTP/1.1"" 200 15443 ""http://210.110.104.16/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:13:35:37 +0900,2025-06-12 13:35:37+09:00,GET /icons/poweredby.png HTTP/1.1,GET,/icons/poweredby.png,HTTP/1.1,200,15443,http://210.110.104.16/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
3,"210.110.68.35 - - [12/Jun/2025:13:35:37 +0900] ""GET /poweredby.png HTTP/1.1"" 200 5714 ""http://210.110.104.16/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:13:35:37 +0900,2025-06-12 13:35:37+09:00,GET /poweredby.png HTTP/1.1,GET,/poweredby.png,HTTP/1.1,200,5714,http://210.110.104.16/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
4,"210.110.68.35 - - [12/Jun/2025:13:35:37 +0900] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://210.110.104.16/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:13:35:37 +0900,2025-06-12 13:35:37+09:00,GET /favicon.ico HTTP/1.1,GET,/favicon.ico,HTTP/1.1,404,196,http://210.110.104.16/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
5,"210.110.68.35 - - [12/Jun/2025:13:36:26 +0900] ""-"" 408 - ""-"" ""-""",210.110.68.35,,,12/Jun/2025:13:36:26 +0900,2025-06-12 13:36:26+09:00,-,,,,408,,,,SUCCESS,EMPTY_REQUEST,
6,"210.110.68.35 - - [12/Jun/2025:16:43:50 +0900] ""GET / HTTP/1.1"" 403 7620 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:16:43:50 +0900,2025-06-12 16:43:50+09:00,GET / HTTP/1.1,GET,/,HTTP/1.1,403,7620,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
7,"210.110.68.35 - - [12/Jun/2025:16:43:51 +0900] ""GET /icons/poweredby.png HTTP/1.1"" 200 15443 ""http://210.110.104.16/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:16:43:51 +0900,2025-06-12 16:43:51+09:00,GET /icons/poweredby.png HTTP/1.1,GET,/icons/poweredby.png,HTTP/1.1,200,15443,http://210.110.104.16/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
8,"210.110.68.35 - - [12/Jun/2025:16:43:51 +0900] ""GET /poweredby.png HTTP/1.1"" 200 5714 ""http://210.110.104.16/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:16:43:51 +0900,2025-06-12 16:43:51+09:00,GET /poweredby.png HTTP/1.1,GET,/poweredby.png,HTTP/1.1,200,5714,http://210.110.104.16/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
9,"210.110.68.35 - - [12/Jun/2025:16:45:16 +0900] ""GET /app.py HTTP/1.1"" 200 4243 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:16:45:16 +0900,2025-06-12 16:45:16+09:00,GET /app.py HTTP/1.1,GET,/app.py,HTTP/1.1,200,4243,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
10,"210.110.68.35 - - [12/Jun/2025:16:45:37 +0900] ""GET /db_test.py HTTP/1.1"" 200 362 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""",210.110.68.35,,,12/Jun/2025:16:45:37 +0900,2025-06-12 16:45:37+09:00,GET /db_test.py HTTP/1.1,GET,/db_test.py,HTTP/1.1,200,362,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",SUCCESS,STANDARD_HTTP,
