line_no,raw_line,time_raw,time,module,level,pid,tid,client_ip,client_port,error_code,message,parse_status,record_type,parse_note
1,[Thu Jun 12 13:35:25.818494 2025] [suexec:notice] [pid 1947900:tid 140420159084864] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 13:35:25.818494 2025,2025-06-12 13:35:25.818494,suexec,notice,1947900,140420159084864,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
2,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
3,[Thu Jun 12 13:35:25.840609 2025] [lbmethod_heartbeat:notice] [pid 1947900:tid 140420159084864] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 13:35:25.840609 2025,2025-06-12 13:35:25.840609,lbmethod_heartbeat,notice,1947900,140420159084864,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
4,[Thu Jun 12 13:35:25.841319 2025] [http2:warn] [pid 1947900:tid 140420159084864] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 13:35:25.841319 2025,2025-06-12 13:35:25.841319,http2,warn,1947900,140420159084864,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
5,[Thu Jun 12 13:35:25.843764 2025] [mpm_event:notice] [pid 1947900:tid 140420159084864] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 13:35:25.843764 2025,2025-06-12 13:35:25.843764,mpm_event,notice,1947900,140420159084864,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
6,[Thu Jun 12 13:35:25.843784 2025] [core:notice] [pid 1947900:tid 140420159084864] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 13:35:25.843784 2025,2025-06-12 13:35:25.843784,core,notice,1947900,140420159084864,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
7,"[Thu Jun 12 13:35:37.052218 2025] [autoindex:error] [pid 1947909:tid 140419562436352] [client 210.110.68.35:59629] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 13:35:37.052218 2025,2025-06-12 13:35:37.052218,autoindex,error,1947909,140419562436352,210.110.68.35,59629,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
8,"[Thu Jun 12 16:43:50.991473 2025] [autoindex:error] [pid 1947909:tid 140419308443392] [client 210.110.68.35:56126] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 16:43:50.991473 2025,2025-06-12 16:43:50.991473,autoindex,error,1947909,140419308443392,210.110.68.35,56126,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
9,"[Thu Jun 12 16:56:59.210399 2025] [autoindex:error] [pid 1947909:tid 140418427635456] [client 210.110.64.41:32198] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 16:56:59.210399 2025,2025-06-12 16:56:59.210399,autoindex,error,1947909,140418427635456,210.110.64.41,32198,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
10,"[Thu Jun 12 16:58:25.662484 2025] [autoindex:error] [pid 1948138:tid 140419182618368] [client 220.67.241.146:55672] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 16:58:25.662484 2025,2025-06-12 16:58:25.662484,autoindex,error,1948138,140419182618368,220.67.241.146,55672,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
11,"[Thu Jun 12 16:59:32.899367 2025] [autoindex:error] [pid 1948138:tid 140419149047552] [client 210.110.64.41:12775] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 16:59:32.899367 2025,2025-06-12 16:59:32.899367,autoindex,error,1948138,140419149047552,210.110.64.41,12775,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
12,"[Thu Jun 12 17:17:47.172289 2025] [autoindex:error] [pid 1947909:tid 140419283265280] [client 220.67.241.146:55981] AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",Thu Jun 12 17:17:47.172289 2025,2025-06-12 17:17:47.172289,autoindex,error,1947909,140419283265280,220.67.241.146,55981,AH01276,"AH01276: Cannot serve directory /home/dsuser/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",SUCCESS,STANDARD_HEADER,
13,"[Thu Jun 12 17:41:39.972769 2025] [mpm_event:notice] [pid 1947900:tid 140420159084864] AH00492: caught SIGWINCH, shutting down gracefully",Thu Jun 12 17:41:39.972769 2025,2025-06-12 17:41:39.972769,mpm_event,notice,1947900,140420159084864,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
14,[Thu Jun 12 17:42:00.043754 2025] [suexec:notice] [pid 1995107:tid 140658241005888] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 17:42:00.043754 2025,2025-06-12 17:42:00.043754,suexec,notice,1995107,140658241005888,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
15,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
16,[Thu Jun 12 17:42:00.056234 2025] [lbmethod_heartbeat:notice] [pid 1995107:tid 140658241005888] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 17:42:00.056234 2025,2025-06-12 17:42:00.056234,lbmethod_heartbeat,notice,1995107,140658241005888,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
17,[Thu Jun 12 17:42:00.056705 2025] [http2:warn] [pid 1995107:tid 140658241005888] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 17:42:00.056705 2025,2025-06-12 17:42:00.056705,http2,warn,1995107,140658241005888,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
18,[Thu Jun 12 17:42:00.058629 2025] [mpm_event:notice] [pid 1995107:tid 140658241005888] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 17:42:00.058629 2025,2025-06-12 17:42:00.058629,mpm_event,notice,1995107,140658241005888,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
19,[Thu Jun 12 17:42:00.058647 2025] [core:notice] [pid 1995107:tid 140658241005888] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 17:42:00.058647 2025,2025-06-12 17:42:00.058647,core,notice,1995107,140658241005888,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
20,"[Thu Jun 12 17:54:43.052352 2025] [mpm_event:notice] [pid 1995107:tid 140658241005888] AH00492: caught SIGWINCH, shutting down gracefully",Thu Jun 12 17:54:43.052352 2025,2025-06-12 17:54:43.052352,mpm_event,notice,1995107,140658241005888,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
21,[Thu Jun 12 17:54:44.103613 2025] [suexec:notice] [pid 1995750:tid 140694063937856] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 17:54:44.103613 2025,2025-06-12 17:54:44.103613,suexec,notice,1995750,140694063937856,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
22,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
23,[Thu Jun 12 17:54:44.116054 2025] [lbmethod_heartbeat:notice] [pid 1995750:tid 140694063937856] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 17:54:44.116054 2025,2025-06-12 17:54:44.116054,lbmethod_heartbeat,notice,1995750,140694063937856,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
24,[Thu Jun 12 17:54:44.116548 2025] [http2:warn] [pid 1995750:tid 140694063937856] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 17:54:44.116548 2025,2025-06-12 17:54:44.116548,http2,warn,1995750,140694063937856,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
25,[Thu Jun 12 17:54:44.118445 2025] [mpm_event:notice] [pid 1995750:tid 140694063937856] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 17:54:44.118445 2025,2025-06-12 17:54:44.118445,mpm_event,notice,1995750,140694063937856,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
26,[Thu Jun 12 17:54:44.118467 2025] [core:notice] [pid 1995750:tid 140694063937856] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 17:54:44.118467 2025,2025-06-12 17:54:44.118467,core,notice,1995750,140694063937856,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
27,"[Thu Jun 12 17:56:06.274495 2025] [mpm_event:notice] [pid 1995750:tid 140694063937856] AH00492: caught SIGWINCH, shutting down gracefully",Thu Jun 12 17:56:06.274495 2025,2025-06-12 17:56:06.274495,mpm_event,notice,1995750,140694063937856,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
28,[Thu Jun 12 17:56:07.326271 2025] [suexec:notice] [pid 1996011:tid 140669294074176] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 17:56:07.326271 2025,2025-06-12 17:56:07.326271,suexec,notice,1996011,140669294074176,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
29,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
30,[Thu Jun 12 17:56:07.339098 2025] [lbmethod_heartbeat:notice] [pid 1996011:tid 140669294074176] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 17:56:07.339098 2025,2025-06-12 17:56:07.339098,lbmethod_heartbeat,notice,1996011,140669294074176,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
